author_given	author_family	affiliation	DOI
D.	Sculley	Google Research	10.1145/3351095.3372878
Yoni	Halpern	Google Research	10.1145/3351095.3372878
Lily	Hu	Harvard University	10.1145/3351095.3372857
Yiling	Chen	Harvard University	10.1145/3351095.3372857
Michael P.	Kim	Stanford University	10.1145/3351095.3373155
Aleksandra	Korolova	University of Southern California	10.1145/3351095.3373155
Guy N.	Rothblum	Weizmann Institute of Science	10.1145/3351095.3373155
Gal	Yona	Weizmann Institute of Science	10.1145/3351095.3373155
Kaiyu	Yang	Princeton University	10.1145/3351095.3375709
Klint	Qinami	Princeton University	10.1145/3351095.3375709
Li	Fei-Fei	Stanford University	10.1145/3351095.3375709
Jia	Deng	Princeton University	10.1145/3351095.3375709
Olga	Russakovsky	Princeton University	10.1145/3351095.3375709
Eni	Mustafaraj	Wellesley College	10.1145/3351095.3372835
Emma	Lurie	University of California	10.1145/3351095.3372835
Claire	Devine	Wellesley College	10.1145/3351095.3372835
Glencora	Borradaile	Oregon State University	10.1145/3351095.3372841
Brett	Burkhardt	Oregon State University	10.1145/3351095.3372841
Alexandria	LeClerc	Oregon State University	10.1145/3351095.3372841
JosÃ© Mena	RoldÃ¡n	Universitat de Barcelona	10.1145/3351095.3372825
Oriol Pujol	Vila	Universitat de Barcelona	10.1145/3351095.3372825
Jordi VitriÃ 	Marca	Universitat de Barcelona	10.1145/3351095.3372825
Amanda	Coston	Carnegie Mellon University	10.1145/3351095.3372851
Alan	Mishler	Carnegie Mellon University	10.1145/3351095.3372851
Edward H.	Kennedy	Carnegie Mellon University	10.1145/3351095.3372851
Alexandra	Chouldechova	Carnegie Mellon University	10.1145/3351095.3372851
Ben	Green	Harvard University	10.1145/3351095.3372869
Ramaravind K.	Mothilal	Microsoft Research India	10.1145/3351095.3372850
Amit	Sharma	Microsoft Research India	10.1145/3351095.3372850
Chenhao	Tan	University of Colorado Boulder	10.1145/3351095.3372850
Jaspreet	Singh	L3S Research Center, Hannover, Germany	10.1145/3351095.3375234
Avishek	Anand	L3S Research Center, Hannover, Germany	10.1145/3351095.3375234
Cecilia	Panigutti	Scuola Normale Superiore	10.1145/3351095.3372855
Alan	Perotti	ISI foundation	10.1145/3351095.3372855
Dino	Pedreschi	University of Pisa	10.1145/3351095.3372855
Leif	Hancox-Li	Capital One	10.1145/3351095.3372836
Umang	Bhatt	Carnegie Mellon University and Partnership on AI and University of Cambridge and Leverhulme CFI	10.1145/3351095.3375624
Alice	Xiang	Partnership on AI	10.1145/3351095.3375624
Shubham	Sharma	University of Texas at Austin	10.1145/3351095.3375624
Adrian	Weller	University of Cambridge and Leverhulme CFI and The Alan Turing Institute	10.1145/3351095.3375624
Ankur	Taly	Fiddler Labs	10.1145/3351095.3375624
Yunhan	Jia	Baidu	10.1145/3351095.3375624
Joydeep	Ghosh	University of Texas at Austin and CognitiveScale	10.1145/3351095.3375624
Ruchir	Puri	IBM Research	10.1145/3351095.3375624
JosÃ© M. F.	Moura	Carnegie Mellon University	10.1145/3351095.3375624
Peter	Eckersley	Partnership on AI	10.1145/3351095.3375624
